optimized,source,old_bytes,new_bytes,delta,percent
anitkabir.521e4bf1.webp,anitkabir.jpg,85371,40074,45297,53.06%
anitkabir.a62893d5.webp,anitkabir.jpg,85371,18424,66947,78.42%
anitkabir.b66bb9ec.webp,anitkabir.jpg,85371,40660,44711,52.37%
anitkabir.c06287ed.webp,anitkabir.jpg,85371,25444,59927,70.20%
anitkabir_2.e736f82f.webp,anitkabir_2.jpg,967380,500212,467168,48.29%
anitkabir_3.db69a68c.webp,anitkabir_3.jpg,1681588,1063680,617908,36.75%
anitkabir_4.235c063c.webp,anitkabir_4.jpg,606235,264832,341403,56.32%
ankara_night.0b65a41c.webp,ankara_night.jpg,410581,8878,401703,97.84%
ankara_night.c864b2c5.webp,ankara_night.jpg,410581,60768,349813,85.20%
ankara_night.e89a7a69.webp,ankara_night.jpg,410581,29960,380621,92.70%
ankara_skyline.4d0c7f45.webp,ankara_skyline.jpg,521723,239558,282165,54.08%
beypazari.78731b4e.webp,beypazari.jpg,161546,74464,87082,53.91%
deer_sculpture.9b1c6387.webp,deer_sculpture.jpg,298837,16814,282023,94.37%
favicon.ee230ac4.png,favicon.png,378,761,-383,-101.32%
hamamonu.f8974028.webp,hamamonu.jpg,140891,79216,61675,43.77%
kale.5ad12051.webp,kale.jpg,402184,172548,229636,57.10%
kale.6fa87f83.webp,kale.jpg,402184,44896,357288,88.84%
kale.76315fbb.webp,kale.jpg,402184,98702,303482,75.46%
kale.868bc56b.webp,kale.jpg,402184,54638,347546,86.41%
kale_2.aab88a56.webp,kale_2.jpg,2653453,1603264,1050189,39.58%
kale_3.d2c7a2d5.webp,kale_3.jpg,815072,664600,150472,18.46%
kale_4.81a705bc.webp,kale_4.jpg,2981808,2193764,788044,26.43%
museum_anatolian.4db7baf6.webp,museum_anatolian.jpg,138696,69410,69286,49.96%
segmenler.8df8ec33.webp,segmenler.jpg,371410,252070,119340,32.13%